CatalogID,Release,Type,Product,Domain,Resolution,Deprecated,MinDate,MaxDate,MinYear,MaxYear,TimeSeriesType,TimeSeriesRegularity,DataType,DataUnit,DataScaleFactor,DataOffset,Data.URL,Metadata.URL,ColorRampDefault
R1D001,Release1,Hydro,Large Stream Flowlines (Multi-flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_512k_mfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_512k_mfd_1m_v2_metadata.xml,categorical
R1D002,Release1,Hydro,Large Stream Flowlines (Single-flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_512k_sfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_512k_sfd_1m_v2_metadata.xml,categorical
R1D003,Release1,Hydro,Large Watersheds (Multi-flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_basins_512k_mfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_basins_512k_mfd_1m_v2_metadata.xml,categorical
R1D004,Release1,Hydro,Multi-direction Flow Accumulation,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,square meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_flow_accum_mfd_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_flow_accum_mfd_1m_v3_metadata.xml,continuous
R1D005,Release1,Hydro,Small Watersheds (Single Flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_basins_32k_sfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_basins_32k_sfd_1m_v2_metadata.xml,categorical
R1D006,Release1,Hydro,Single Direction Flow Accumulation,UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,numeric,square meters,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_flow_accum_sfd_1m_v3.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_flow_accum_sfd_1m_v3_metadata.xml,continuous
R1D007,Release1,Hydro,Small Stream Flowlines (Multi-flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_32k_mfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_32k_mfd_1m_v2_metadata.xml,categorical
R1D008,Release1,Hydro,Small Stream Flowlines (Single Flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_32k_sfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_32k_sfd_1m_v2_metadata.xml,categorical
R1D009,Release1,Hydro,Small Watersheds (Multi-flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_basins_32k_mfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_basins_32k_mfd_1m_v2_metadata.xml,categorical
R1D010,Release1,Hydro,Smaller Stream Flowlines (Multi-flow Direction),UER,1m,FALSE,7/16/18,7/16/18,2018,2018,Single,Regular,factor,categorical,1,0,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_8k_mfd_1m_v2.tif,https://rmbl-sdp.s3.us-east-2.amazonaws.com/data_products/released/release1/UER_streams_8k_mfd_1m_v2_metadata.xml,categorical
